Text,Source,User.Name,User.Screen_name,User.Location,User.Url,User.Description,User.Verified,User.Followers_count,User.Friends_count,User.Listed_count,User.Favourites_count,User.Statuses_count,User.Created_at,User.default_profile_image,User.following,Is_quote_status,Retweeted_status,Quote_count,Reply_count,Retweet_count,Favorite_count,Favorited,Retweeted,Possibly_sensitive,TweetLength,NumberOfWords,HasUrl,UrlCount,HasMentions,MentionsCount,HasHashtags,HashtagsCount,HasQuestionMark,QuestionMarkCount,HasExclamation,ExclamationCount,HasSpecialCharacter,SpecialCharacterCount,HasEmotions,EmotionsCount,AccountAge,FollowersToAccountAge,FriendsToAccountAge,StatusesCountToAccountAge,Class
"If the #CharlieHebdo killings are what many think they are, there are dark days ahead for #France and Europe. Everyone will lose.","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ChristianChristensen,ChrChristensen,"Stockholm, Sweden",https://t.co/EA2I08Lu08,American in Sweden. Professor of Journalism at Stockholm University.,FALSE,5428,1437,218,254,20853,Thu May 31 14:18:09 +0000 2007,FALSE,FALSE,FALSE,null,null,null,127,31,FALSE,FALSE,FALSE,129,22,FALSE,0,FALSE,0,TRUE,2,FALSE,0,FALSE,0,FALSE,0,FALSE,0,8,678.5,179.625,2606.625,non-rumour
"""Love Stronger Than Hate."" All our thoughts with #CharlieHebdo http://t.co/BqRLXRZdJT","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Konbini,konbini,,http://t.co/RyczHnP4jm,"Konbini is the new creative social feed about pop culture |
 all pop everything",TRUE,5912,416,68,921,4118,Tue Nov 05 11:18:27 +0000 2013,FALSE,FALSE,FALSE,null,null,null,584,261,FALSE,FALSE,FALSE,85,10,TRUE,1,FALSE,0,TRUE,1,FALSE,0,FALSE,0,TRUE,3,FALSE,0,2,2956,208,2059,non-rumour
This is the #CharlieHebdo cover of Prophet Mohammed that provoked firebombing of its offices http://t.co/hOUA9DrVaK http://t.co/vDj5EGiRRq,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",David Jack,DJack_Journo,London,null,"Doing the Business on The Times, very tired dad-of-two still fighting WWII and expounder of views which are all my own. RT not necessarily an endorsement",TRUE,3560,1011,99,206,19996,Tue Nov 27 00:53:26 +0000 2012,FALSE,FALSE,FALSE,null,null,null,163,36,FALSE,FALSE,FALSE,138,16,TRUE,2,FALSE,0,TRUE,1,FALSE,0,FALSE,0,TRUE,6,FALSE,0,3,1186.666667,337,6665.333333,non-rumour
Why it's Charlie Hebdo's right to draw Muhammad http://t.co/GlF9dgwFS0 http://t.co/Vkfw5ZbmvC,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",The Independent,Independent,"London, United Kingdom",http://t.co/GsqzXf7Q10,"News, comment and features from The Independent. Also follow: @IndyVoices, 

@IndyPolitics, @IndyWorld and our journalists at http://t.co/WQAUQYNJfd",TRUE,973027,1763,11777,39,124066,Sun Oct 26 00:00:29 +0000 2008,FALSE,FALSE,FALSE,null,null,null,127,41,FALSE,FALSE,FALSE,93,10,TRUE,2,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,6,FALSE,0,7,139003.8571,251.8571429,17723.71429,non-rumour
"For those saying we don't yet know who's responsible for #CharlieHebdo killings, yes, you're right, it was probably fundamentalist atheists.","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Julia Hartley-Brewer,JuliaHB1,London,null,"Journalist and broadcaster. Ex-LBC presenter, newspaper political editor & columnist. Married to 1st husband, mum to my gorgeous girl. All views mine blah blah.",FALSE,22223,121,204,641,17898,Mon Jan 09 16:23:03 +0000 2012,FALSE,FALSE,FALSE,null,null,null,172,113,FALSE,FALSE,FALSE,140,20,FALSE,0,FALSE,0,TRUE,1,FALSE,0,FALSE,0,FALSE,0,FALSE,0,3,7407.666667,40.33333333,5966,non-rumour
"Anybody who wants to talk about what Charlie Hebdo might have done to ""provoke"" this should probably shut up, forever.","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Andrew Mueller,andrew_mueller,"London, except when elsewhere.",http://t.co/rH7s2lzHhu,"Journalist. Author of three scandalously under-rated books, latest of which is available in northern hemisphere now: http://t.co/szukPQQb55",FALSE,3340,434,120,0,11457,Sun May 17 10:50:08 +0000 2009,FALSE,FALSE,FALSE,null,null,null,348,163,FALSE,FALSE,FALSE,118,20,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,6,556.6666667,72.33333333,1909.5,non-rumour
Cowardly attack on Charlie Hebdo's offices. The humourless fanatics can fuck off. Freedom of speech is more important than your feelings.,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Karl Sharro,KarlreMarks,London,http://t.co/Bs2tk5TArg,"Architect, joker, blogger and extremely bad cartoonist. (My Arabic account: @karlremarks_AR )",FALSE,40144,857,1205,3056,61513,Wed Mar 18 11:35:02 +0000 2009,FALSE,FALSE,FALSE,null,null,null,574,365,FALSE,FALSE,FALSE,137,21,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,6,6690.666667,142.8333333,10252.16667,non-rumour
The Guardian has live coverage of the Paris shooting at Charlie Hebdo  http://t.co/M27vO7xFIk,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Glenn Greenwald,ggreenwald,,http://t.co/xZm9DCyQPW,"Journalist with @The_Intercept - author, No Place to Hide - dog/animal fanatic - email/PGP public key (https://t.co/uJnK90oulZ)",TRUE,449118,992,13765,67,52198,Mon Sep 01 03:13:32 +0000 2008,FALSE,FALSE,FALSE,null,null,null,181,49,FALSE,FALSE,FALSE,93,14,TRUE,1,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,3,FALSE,0,7,64159.71429,141.7142857,7456.857143,non-rumour
Appalled to hear news of apparent terrorist attack in Paris. My thoughts are with the family and friends of those killed.,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Philip Hammond,PHammondMP,London,http://t.co/FTt7vQJv1i,Foreign Secretary at Foreign & Commonwealth Office. MP for Runnymede & Weybridge. For constituency matters email hammondp@parliament.uk,TRUE,11149,758,201,0,180,Thu Jul 17 12:26:23 +0000 2014,FALSE,FALSE,FALSE,null,null,null,300,69,FALSE,FALSE,FALSE,121,21,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,1,11149,758,180,non-rumour
in support of those that have died today in Paris #CharlieHebdo #freedomwillNeverDie http://t.co/FkkDZXChdt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Ian,surfnuttz,London,null,Stumbling through life like a blind man in a minefield,FALSE,127,107,1,1592,15497,Sun Dec 19 21:07:28 +0000 2010,FALSE,FALSE,FALSE,null,null,null,254,69,FALSE,FALSE,FALSE,107,13,TRUE,1,FALSE,0,TRUE,2,FALSE,0,FALSE,0,TRUE,3,FALSE,0,5,25.4,21.4,3099.4,non-rumour
"#Freespeech is a non-negotiable human right. We condemn the appalling attack on Charlie Hebdo, and any attempt to silence the free press.","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Index on Censorship,IndexCensorship,London,http://t.co/DDt706OV7G,The voice of free expression.,FALSE,23845,976,1378,1014,23441,Thu Jan 22 15:00:46 +0000 2009,FALSE,FALSE,FALSE,null,null,null,186,42,FALSE,FALSE,FALSE,137,22,FALSE,0,FALSE,0,TRUE,1,FALSE,0,FALSE,0,TRUE,1,FALSE,0,6,3974.166667,162.6666667,3906.833333,non-rumour
"More Charlie Hebdo covers, including ""the life of Mohamed"". These are people willing to kill over a cartoon. http://t.co/VAEnDpBYSu","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",John Simpson,thejohnsimpson,London,http://t.co/noCy55XOFs,Not THE John Simpson?! No. Reporter currently with The Times in London. Views my own but will share. RT/MT/BLT not endorsements - one's a sandwich.,FALSE,2093,2088,50,642,3553,Tue Feb 08 11:29:44 +0000 2011,FALSE,FALSE,FALSE,null,null,null,268,71,FALSE,FALSE,FALSE,131,19,TRUE,1,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,3,FALSE,0,4,523.25,522,888.25,non-rumour
"I'm uneasy with the portrayal of Charlie Hebdo as magazine that ""provokes"". No, it publishes cartoons. People choose how they react to that.","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",James Bloodworth,J_Bloodworth,"London, UK",null,"Editor of Left Foot Forward. Can also be read in the Independent, the NS and the Spectator http://t.co/pww9D2AYoE",FALSE,6355,1208,168,2337,25033,Fri Jun 11 10:35:29 +0000 2010,FALSE,FALSE,FALSE,null,null,null,404,207,FALSE,FALSE,FALSE,140,23,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,5,1271,241.6,5006.6,non-rumour
Not 1st attack on #CharlieHebdo. Office was firebombed on 2 Nov '11 over controvers. caricature of Prophet Muhammad http://t.co/0wAINRJ1Z7,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Malachy Browne,malachybrowne,Dublin,http://t.co/kM8NCP8cEq,Managing Ed. & Europe anchor @reportedly | Formerly @storyful | malachy@firstlook.org | +353 8777 54269   | GPG: A2D39531C36B2DDDA876BE9C E3081EC02BA7FEFB,TRUE,5462,5433,268,1200,11774,Tue Mar 10 11:56:35 +0000 2009,FALSE,FALSE,FALSE,null,null,null,144,26,FALSE,FALSE,FALSE,138,19,TRUE,1,FALSE,0,TRUE,1,FALSE,0,FALSE,0,TRUE,3,FALSE,0,6,910.3333333,905.5,1962.333333,non-rumour
"Paris on maximum alert after #CharlieHebdo attack, officials say as President Hollande arrives at scene http://t.co/MmxR2nmi5R","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",BBC Breaking News,BBCBreaking,"London, UK",http://t.co/vBzl7LOaso,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",TRUE,12912759,3,102680,0,22782,Sun Apr 22 14:42:37 +0000 2007,FALSE,FALSE,FALSE,null,null,null,696,148,FALSE,FALSE,FALSE,126,16,TRUE,1,FALSE,0,TRUE,1,FALSE,0,FALSE,0,TRUE,3,FALSE,0,8,1614094.875,0.375,2847.75,non-rumour
Paris alert status raised to the highest level with #CharlieHebdo gunmen reportedly on the run http://t.co/xcK8lY9IeR http://t.co/tQuxQ06Q7f,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Sky News,SkyNews,"London, UK",http://t.co/7witOoeYyy,"Stories direct from the @SkyNews newsroom. Tweet us your queries and questions. For breaking news, follow @SkyNewsBreak.",TRUE,1786479,17,14704,2,122317,Thu Jul 19 14:42:53 +0000 2007,FALSE,FALSE,FALSE,null,null,null,247,42,FALSE,FALSE,FALSE,140,17,TRUE,2,FALSE,0,TRUE,1,FALSE,0,FALSE,0,TRUE,6,FALSE,0,8,223309.875,2.125,15289.625,non-rumour
"...but I will to the death defend your right to say it'.

#charliehebdo
#voltaire http://t.co/oFEHT8Xx3v","<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>",pieter klein,pieterkleinrtl,,http://t.co/nWbFppkxRi,Adjunct-hoofdredacteur RTL Nieuws,FALSE,8380,1208,133,1432,13668,Tue Nov 30 21:51:16 +0000 2010,FALSE,FALSE,FALSE,null,null,null,307,106,FALSE,FALSE,FALSE,105,13,TRUE,1,FALSE,0,TRUE,2,FALSE,0,FALSE,0,TRUE,3,FALSE,0,5,1676,241.6,2733.6,non-rumour
